Date,Open,High,Low,Close
2024-01-17 18:00:00-05:00,4821.0,4821.0,4821.0,4821.0
2024-01-17 18:10:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 18:20:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 18:30:00-05:00,4822.0,4822.0,4821.5,4821.5
2024-01-17 18:40:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 18:50:00-05:00,4821.5,4822.0,4821.5,4822.0
2024-01-17 19:00:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 19:10:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 19:20:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 19:30:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 19:40:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 19:50:00-05:00,4822.0,4822.0,4822.0,4822.0
2024-01-17 20:00:00-05:00,4823.5,4823.5,4823.5,4823.5
2024-01-17 20:10:00-05:00,4823.5,4823.5,4823.5,4823.5
2024-01-17 20:20:00-05:00,4823.5,4823.5,4823.5,4823.5
2024-01-17 20:30:00-05:00,4823.5,4823.5,4823.5,4823.5
2024-01-17 20:40:00-05:00,4823.5,4823.5,4823.5,4823.5
2024-01-17 20:50:00-05:00,4822.25,4822.25,4822.25,4822.25
2024-01-17 21:00:00-05:00,4822.25,4822.25,4822.25,4822.25
2024-01-17 21:10:00-05:00,4824.5,4824.5,4824.5,4824.5
2024-01-17 21:20:00-05:00,4823.25,4823.25,4822.75,4822.75
2024-01-17 21:30:00-05:00,4822.25,4822.25,4822.25,4822.25
2024-01-17 21:40:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 21:50:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 22:00:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 22:10:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 22:20:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 22:30:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 22:40:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 22:50:00-05:00,4821.5,4821.5,4821.5,4821.5
2024-01-17 23:00:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-17 23:10:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-17 23:20:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-17 23:30:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-17 23:40:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-17 23:50:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-18 00:00:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-18 00:10:00-05:00,4818.5,4818.5,4818.5,4818.5
2024-01-18 00:20:00-05:00,4818.0,4818.0,4818.0,4818.0
2024-01-18 00:30:00-05:00,4818.0,4818.0,4818.0,4818.0
2024-01-18 00:40:00-05:00,4818.0,4818.0,4818.0,4818.0
2024-01-18 00:50:00-05:00,4818.0,4818.0,4818.0,4818.0
2024-01-18 01:00:00-05:00,4818.0,4818.0,4818.0,4818.0
2024-01-18 01:10:00-05:00,4824.25,4824.25,4824.25,4824.25
2024-01-18 01:20:00-05:00,4824.5,4824.5,4824.5,4824.5
2024-01-18 01:30:00-05:00,4825.25,4825.25,4824.25,4824.25
